Name,Asset Type,URL
"Список врачей, практикующих доказательную медицину","Врачи, Докмед, Онлайн, Очно",https://ebmd.ru/physicians
Расстрельный список медицинских препаратов-пустышек,Докмед,https://encyclopatia.ru/wiki/%D0%A0%D0%B0%D1%81%D1%81%D1%82%D1%80%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA_%D0%BF%D1%80%D0%B5%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2
Центр помощи пострадавшим от насилия “Насилию.нет”,"Бесплатно, Онлайн, Очно, Психологическая помощь",https://nasiliu.net/
Центр помощи пострадавшим от насилия “НеТерпи”,"Бесплатно, Онлайн, Очно, Психологическая помощь",https://neterpi.com/about_us
Список научно-оринтированных психологов от проекта “Неси сюда”,"Онлайн, Психологическая помощь",https://doctorgaleeva.ru/psy
Список научно-ориентированных психологов от проекта “Чистые Когниции” (давно не обновлялся),"Онлайн, Психологическая помощь",https://teletype.in/@purecognitions/afXJT0rJa?fbclid=PAZXh0bgNhZW0CMTEAAaYCWFtJDGHubndfQjmx0Zat2gIS8To9lPTQuGTbqVzRruU5H-_XfbrWdFo_aem_0kSPhZGwlzEztJ9iWMmbBA
"Проект, посвященный теме самосострадания","Онлайн, Психологическая помощь, Психообразование, Тренинги",https://t.me/selfcompassionfriend
"Школа здорового взрослого: коммуникация, саморегуляция, ассертивность","Онлайн, Психологическая помощь, Психообразование, Тренинги",https://t.me/HealthyAdultLife
Список психиатров от проекта “Чистые когниции”,"Врачи, Докмед, Онлайн",https://purecognitions.ru/psychiatrists
Проект про СДВГ от “Чистых когниций”,"Врачи, Диагностика, Онлайн, Психологическая помощь, Психообразование, Тренинги",https://gdemoevnimanie.ru/
